,k,accuracy,model,epoch
526,4,60.12,hopfield,26
527,4,59.35,hopfield,27
528,4,59.6,hopfield,28
529,4,59.37,hopfield,29
530,4,59.34,hopfield,30
531,4,59.87,hopfield,31
532,4,59.04,hopfield,32
533,4,59.55,hopfield,33
534,4,57.74,hopfield,34
535,4,58.13,hopfield,35
536,4,58.07,hopfield,36
537,4,57.87,hopfield,37
538,4,58.94,hopfield,38
539,4,59.59,hopfield,39
540,4,58.69,hopfield,40
541,4,59.27,hopfield,41
542,4,58.84,hopfield,42
543,4,58.49,hopfield,43
544,4,58.98,hopfield,44
545,4,58.51,hopfield,45
546,4,59.74,hopfield,46
547,4,57.77,hopfield,47
548,4,59.15,hopfield,48
549,4,59.42,hopfield,49
550,4,58.2,hopfield,50
551,4,59.1,hopfield,51
552,4,58.58,hopfield,52
553,4,58.96,hopfield,53
554,4,58.87,hopfield,54
555,4,58.58,hopfield,55
556,4,58.93,hopfield,56
557,4,59.44,hopfield,57
558,4,58.22,hopfield,58
559,4,59.24,hopfield,59
560,4,58.24,hopfield,60
561,4,58.91,hopfield,61
562,4,58.57,hopfield,62
563,4,58.25,hopfield,63
564,4,60.14,hopfield,64
565,4,58.53,hopfield,65
566,4,59.47,hopfield,66
567,4,59.02,hopfield,67
568,4,59.09,hopfield,68
569,4,59.22,hopfield,69
570,4,59.47,hopfield,70
571,4,59.23,hopfield,71
572,4,58.36,hopfield,72
573,4,58.99,hopfield,73
574,4,59.57,hopfield,74
575,4,59.79,hopfield,75
576,4,59.08,hopfield,76
577,4,58.65,hopfield,77
578,4,58.66,hopfield,78
579,4,59.02,hopfield,79
580,4,59.41,hopfield,80
581,4,58.63,hopfield,81
582,4,58.21,hopfield,82
583,4,59.36,hopfield,83
584,4,59.84,hopfield,84
585,4,58.81,hopfield,85
586,4,59.21,hopfield,86
587,4,58.94,hopfield,87
588,4,59.34,hopfield,88
589,4,59.25,hopfield,89
590,4,58.94,hopfield,90
591,4,59.21,hopfield,91
592,4,59.99,hopfield,92
593,4,59.18,hopfield,93
594,4,59.06,hopfield,94
595,4,58.78,hopfield,95
596,4,58.91,hopfield,96
