,k,accuracy,model,epoch
438,1,97.7,hopfield,38
439,1,97.55,hopfield,39
440,1,97.54,hopfield,40
441,1,97.53,hopfield,41
442,1,97.63,hopfield,42
443,1,97.38,hopfield,43
444,1,97.43,hopfield,44
445,1,97.48,hopfield,45
446,1,97.67,hopfield,46
447,1,97.99,hopfield,47
448,1,97.53,hopfield,48
449,1,97.28,hopfield,49
450,1,97.18,hopfield,50
451,1,98.04,hopfield,51
452,1,97.46,hopfield,52
453,1,97.04,hopfield,53
454,1,97.83,hopfield,54
455,1,97.9,hopfield,55
456,1,98.05,hopfield,56
457,1,97.57,hopfield,57
458,1,97.44,hopfield,58
459,1,97.8,hopfield,59
460,1,97.78,hopfield,60
461,1,97.84,hopfield,61
462,1,97.32,hopfield,62
463,1,97.68,hopfield,63
464,1,97.79,hopfield,64
465,1,97.7,hopfield,65
466,1,97.7,hopfield,66
467,1,97.84,hopfield,67
468,1,97.33,hopfield,68
469,1,97.58,hopfield,69
470,1,97.97,hopfield,70
471,1,98.07,hopfield,71
472,1,97.75,hopfield,72
473,1,97.25,hopfield,73
474,1,97.84,hopfield,74
475,1,97.98,hopfield,75
476,1,98.04,hopfield,76
477,1,97.76,hopfield,77
478,1,97.22,hopfield,78
479,1,98.07,hopfield,79
480,1,98.03,hopfield,80
481,1,98.2,hopfield,81
482,1,98.19,hopfield,82
483,1,98.18,hopfield,83
484,1,98.2,hopfield,84
485,1,98.2,hopfield,85
486,1,98.2,hopfield,86
487,1,98.22,hopfield,87
488,1,98.21,hopfield,88
489,1,98.22,hopfield,89
490,1,98.24,hopfield,90
491,1,98.23,hopfield,91
492,1,98.23,hopfield,92
493,1,98.23,hopfield,93
494,1,98.26,hopfield,94
495,1,98.23,hopfield,95
496,1,98.25,hopfield,96
497,1,98.24,hopfield,97
498,1,98.24,hopfield,98
499,1,98.23,hopfield,99
500,4,92.16,hopfield,0
501,4,95.33,hopfield,1
502,4,96.29,hopfield,2
503,4,96.61,hopfield,3
504,4,96.47,hopfield,4
505,4,96.74,hopfield,5
506,4,97.09,hopfield,6
507,4,96.77,hopfield,7
508,4,97.26,hopfield,8
509,4,97.15,hopfield,9
510,4,97.26,hopfield,10
511,4,97.36,hopfield,11
512,4,97.25,hopfield,12
513,4,97.5,hopfield,13
514,4,97.33,hopfield,14
515,4,97.61,hopfield,15
516,4,97.29,hopfield,16
517,4,97.63,hopfield,17
518,4,97.36,hopfield,18
519,4,97.63,hopfield,19
520,4,97.32,hopfield,20
521,4,97.01,hopfield,21
522,4,97.36,hopfield,22
523,4,97.4,hopfield,23
524,4,97.38,hopfield,24
525,4,97.61,hopfield,25
526,4,97.54,hopfield,26
527,4,97.18,hopfield,27
528,4,96.99,hopfield,28
529,4,97.64,hopfield,29
530,4,97.21,hopfield,30
531,4,97.74,hopfield,31
532,4,97.35,hopfield,32
533,4,97.25,hopfield,33
534,4,97.83,hopfield,34
535,4,97.64,hopfield,35
536,4,97.35,hopfield,36
537,4,97.58,hopfield,37
538,4,97.54,hopfield,38
539,4,97.49,hopfield,39
540,4,97.36,hopfield,40
541,4,97.56,hopfield,41
542,4,97.43,hopfield,42
543,4,97.67,hopfield,43
544,4,97.44,hopfield,44
545,4,97.68,hopfield,45
546,4,98.12,hopfield,46
547,4,97.63,hopfield,47
548,4,97.5,hopfield,48
549,4,97.93,hopfield,49
550,4,97.3,hopfield,50
551,4,97.76,hopfield,51
552,4,97.4,hopfield,52
553,4,97.41,hopfield,53
554,4,97.65,hopfield,54
555,4,97.89,hopfield,55
556,4,97.89,hopfield,56
557,4,97.47,hopfield,57
558,4,97.79,hopfield,58
559,4,97.83,hopfield,59
560,4,97.76,hopfield,60
561,4,97.72,hopfield,61
562,4,97.65,hopfield,62
563,4,97.8,hopfield,63
564,4,97.72,hopfield,64
565,4,97.0,hopfield,65
566,4,97.47,hopfield,66
567,4,98.04,hopfield,67
568,4,98.16,hopfield,68
569,4,98.21,hopfield,69
570,4,98.22,hopfield,70
571,4,98.23,hopfield,71
572,4,98.22,hopfield,72
573,4,98.21,hopfield,73
574,4,98.21,hopfield,74
575,4,98.21,hopfield,75
576,4,98.21,hopfield,76
577,4,98.21,hopfield,77
578,4,98.19,hopfield,78
579,4,98.19,hopfield,79
580,4,98.2,hopfield,80
581,4,98.19,hopfield,81
582,4,98.18,hopfield,82
583,4,98.2,hopfield,83
584,4,98.19,hopfield,84
585,4,98.18,hopfield,85
586,4,98.18,hopfield,86
587,4,98.22,hopfield,87
588,4,98.23,hopfield,88
589,4,98.22,hopfield,89
590,4,98.22,hopfield,90
591,4,98.23,hopfield,91
592,4,98.24,hopfield,92
593,4,98.23,hopfield,93
594,4,98.25,hopfield,94
595,4,98.26,hopfield,95
596,4,98.26,hopfield,96
597,4,98.25,hopfield,97
598,4,98.26,hopfield,98
599,4,98.23,hopfield,99
600,8,94.27,hopfield,0
601,8,95.81,hopfield,1
602,8,96.12,hopfield,2
603,8,96.7,hopfield,3
604,8,97.14,hopfield,4
605,8,97.44,hopfield,5
606,8,97.13,hopfield,6
607,8,97.35,hopfield,7
608,8,97.48,hopfield,8
609,8,97.37,hopfield,9
610,8,97.36,hopfield,10
611,8,97.19,hopfield,11
612,8,97.4,hopfield,12
613,8,97.2,hopfield,13
614,8,97.75,hopfield,14
615,8,97.32,hopfield,15
616,8,97.51,hopfield,16
617,8,97.56,hopfield,17
618,8,97.46,hopfield,18
619,8,97.68,hopfield,19
620,8,97.85,hopfield,20
621,8,97.49,hopfield,21
622,8,97.73,hopfield,22
623,8,97.6,hopfield,23
624,8,97.71,hopfield,24
625,8,97.66,hopfield,25
626,8,97.95,hopfield,26
627,8,97.64,hopfield,27
628,8,97.68,hopfield,28
629,8,97.72,hopfield,29
630,8,97.65,hopfield,30
631,8,97.36,hopfield,31
632,8,97.74,hopfield,32
633,8,97.97,hopfield,33
634,8,97.69,hopfield,34
635,8,97.84,hopfield,35
636,8,97.13,hopfield,36
637,8,97.95,hopfield,37
638,8,97.36,hopfield,38
639,8,97.53,hopfield,39
640,8,97.59,hopfield,40
641,8,97.68,hopfield,41
